,Date,MinTemp,MaxTemp,Rainfall
0,2008-12-01,13.4,22.9,0.6
1,2008-12-02,7.4,25.1,0.0
2,2008-12-03,12.9,25.7,0.0
3,2008-12-04,9.2,28.0,0.0
4,2008-12-05,17.5,32.3,1.0
5,2008-12-06,14.6,29.7,0.2
6,2008-12-07,14.3,25.0,0.0
7,2008-12-08,7.7,26.7,0.0
8,2008-12-09,9.7,31.9,0.0
9,2008-12-10,13.1,30.1,1.4
10,2008-12-11,13.4,30.4,0.0
11,2008-12-12,15.9,21.7,2.2
12,2008-12-13,15.9,18.6,15.6
13,2008-12-14,12.6,21.0,3.6
14,2008-12-15,8.4,24.6,0.0
15,2008-12-16,9.8,27.7,
16,2008-12-17,14.1,20.9,0.0
17,2008-12-18,13.5,22.9,16.8
18,2008-12-19,11.2,22.5,10.6
19,2008-12-20,9.8,25.6,0.0
20,2008-12-21,11.5,29.3,0.0
21,2008-12-22,17.1,33.0,0.0
22,2008-12-23,20.5,31.8,0.0
23,2008-12-24,15.3,30.9,0.0
24,2008-12-25,12.6,32.4,0.0
25,2008-12-26,16.2,33.9,0.0
26,2008-12-27,16.9,33.0,0.0
27,2008-12-28,20.1,32.7,0.0
28,2008-12-29,19.7,27.2,0.0
29,2008-12-30,12.5,24.2,1.2
30,2008-12-31,12.0,24.4,0.8
31,2009-01-01,11.3,26.5,0.0
32,2009-01-02,9.6,23.9,0.0
33,2009-01-03,10.5,28.8,0.0
34,2009-01-04,12.3,34.6,0.0
35,2009-01-05,12.9,35.8,0.0
36,2009-01-06,13.7,37.9,0.0
37,2009-01-07,16.1,38.9,0.0
38,2009-01-08,14.0,28.3,0.0
39,2009-01-09,12.5,28.4,0.0
40,2009-01-10,17.0,30.8,0.0
41,2009-01-11,16.9,32.0,0.0
42,2009-01-12,17.3,34.7,0.0
43,2009-01-13,17.2,37.7,0.0
44,2009-01-14,17.4,43.0,0.0
45,2009-01-15,19.8,32.7,0.0
46,2009-01-16,14.9,26.7,0.0
47,2009-01-17,10.5,28.4,0.0
48,2009-01-18,11.3,32.2,0.0
49,2009-01-19,13.9,36.6,0.0
50,2009-01-20,18.6,39.9,0.0
51,2009-01-21,19.3,38.1,0.8
52,2009-01-22,24.4,34.0,0.6
53,2009-01-23,18.8,35.2,6.4
54,2009-01-24,20.8,30.6,0.0
55,2009-01-25,14.0,34.3,0.0
56,2009-01-26,15.7,38.4,0.0
