Date,MinTemp,MaxTemp,Rainfall
2008-12-01,13.4,22.9,0.6
2008-12-02,7.4,25.1,0
2008-12-03,12.9,25.7,0
2008-12-04,9.2,28,0
2008-12-05,17.5,32.3,1
2008-12-06,14.6,29.7,0.2
2008-12-07,14.3,25,0
2008-12-08,7.7,26.7,0
2008-12-09,9.7,31.9,0
2008-12-10,13.1,30.1,1.4
2008-12-11,13.4,30.4,0
2008-12-12,15.9,21.7,2.2
2008-12-13,15.9,18.6,15.6
2008-12-14,12.6,21,3.6
2008-12-15,8.4,24.6,0
2008-12-16,9.8,27.7,NA
2008-12-17,14.1,20.9,0
2008-12-18,13.5,22.9,16.8
2008-12-19,11.2,22.5,10.6
2008-12-20,9.8,25.6,0
2008-12-21,11.5,29.3,0
2008-12-22,17.1,33,0
2008-12-23,20.5,31.8,0
2008-12-24,15.3,30.9,0
2008-12-25,12.6,32.4,0
2008-12-26,16.2,33.9,0
2008-12-27,16.9,33,0
2008-12-28,20.1,32.7,0
2008-12-29,19.7,27.2,0
2008-12-30,12.5,24.2,1.2
2008-12-31,12,24.4,0.8
2009-01-01,11.3,26.5,0
2009-01-02,9.6,23.9,0
2009-01-03,10.5,28.8,0
2009-01-04,12.3,34.6,0
2009-01-05,12.9,35.8,0
2009-01-06,13.7,37.9,0
2009-01-07,16.1,38.9,0
2009-01-08,14,28.3,0
2009-01-09,12.5,28.4,0
2009-01-10,17,30.8,0
2009-01-11,16.9,32,0
2009-01-12,17.3,34.7,0
2009-01-13,17.2,37.7,0
2009-01-14,17.4,43,0
2009-01-15,19.8,32.7,0
2009-01-16,14.9,26.7,0
2009-01-17,10.5,28.4,0
2009-01-18,11.3,32.2,0
2009-01-19,13.9,36.6,0
2009-01-20,18.6,39.9,0
2009-01-21,19.3,38.1,0.8
2009-01-22,24.4,34,0.6
2009-01-23,18.8,35.2,6.4
2009-01-24,20.8,30.6,0
2009-01-25,14,34.3,0
2009-01-26,15.7,38.4,0
2009-01-27,18.5,38.2,0
2009-01-28,20.4,40.7,0
2009-01-29,21.8,41.5,0
2009-01-30,22.3,42.9,0
2009-01-31,22,42.7,0
2009-02-01,28,43.1,0
2009-02-02,24.4,38.3,0.2
2009-02-03,21.5,37.7,0
2009-02-04,21.7,36.9,0
2009-02-05,21.5,41.2,0
2009-02-06,23.5,42.2,0
2009-02-07,22.3,44.8,0
2009-02-08,28.3,40.2,0
2009-02-09,18.4,31.2,0.4
2009-02-10,14.9,27.3,0
2009-02-11,13.5,26.7,0
2009-02-12,16.1,21.6,0
2009-02-13,14.6,29,3
2009-02-14,12.4,29.2,0
2009-02-15,13.3,31.3,0
2009-02-16,17.2,31.1,0
2009-02-17,12.5,28.8,0
2009-02-18,18,32,0
2009-02-19,16.2,34,0
2009-02-20,18.7,29.1,0
2009-02-21,13.7,31.7,0
2009-02-22,15.5,33.2,0
2009-02-23,14.3,34,0
2009-02-24,12.9,29.6,0
2009-02-25,8.9,31.9,0
2009-02-26,15,32.7,0
2009-02-27,15.4,32.6,0
2009-02-28,16,34.5,0
2009-03-01,12.8,30.3,0
2009-03-02,13.2,31.9,0
2009-03-03,18,31.1,0
2009-03-04,13.8,22.1,0.2
2009-03-05,11.5,22,0
2009-03-06,7.6,24,0
2009-03-07,8.3,27.9,0
2009-03-08,11,30.2,0
2009-03-09,13.8,31.8,0
2009-03-10,15.5,32,0
2009-03-11,18.4,30.5,1.2
2009-03-12,20.9,25.7,0
2009-03-13,17.1,25.8,5.8
2009-03-14,16.4,27,3
2009-03-15,10,19.7,11.6
2009-03-16,8.8,21.9,0
2009-03-17,8.4,25.3,0
2009-03-18,9.3,28,0
2009-03-19,11.3,30.1,0
2009-03-20,11.5,33.5,0
2009-03-21,13.8,33.6,0
2009-03-22,14.6,30,0
2009-03-23,14.4,31.6,0
2009-03-24,10.8,31.9,0
2009-03-25,15.4,22.3,0.4
2009-03-26,13.3,29.8,1.8
2009-03-27,10.1,27.6,0
2009-03-28,9.1,28.9,0
2009-03-29,10.4,31.2,0
2009-03-30,13.4,30.4,0
2009-03-31,12.3,29.9,0
2009-04-01,12.2,30.6,0
2009-04-02,14.3,32.1,0
2009-04-03,18.4,28.1,8.6
2009-04-04,10.7,21.4,12.6
2009-04-05,7.8,21.7,0
2009-04-06,8.1,21.4,0
2009-04-07,7.5,22.5,0
2009-04-08,8.2,24,0
2009-04-09,8.1,25.7,0
2009-04-10,11.6,26.7,0
2009-04-11,13,24.9,8.4
2009-04-12,13.5,24.2,6.2
2009-04-13,9.9,25.4,0
2009-04-14,12.2,25,0
2009-04-15,10.7,21.9,0
2009-04-16,3.5,20,0
2009-04-17,6.6,21.6,0
2009-04-18,7,23.4,0
2009-04-19,11.2,23.9,0
2009-04-20,7.4,22,0
2009-04-21,5.7,21.4,0
2009-04-22,6.2,22.7,0
2009-04-23,6,22.9,0
2009-04-24,10.6,16.2,0
2009-04-25,12.9,15.8,20
2009-04-26,8.6,12.9,21
2009-04-27,4.5,11.5,3.2
2009-04-28,7.6,14.5,4.8
2009-04-29,5.4,12.2,0
2009-04-30,2.1,16.5,0
2009-05-01,1.8,17,0
2009-05-02,7.2,19.2,0
2009-05-03,4.6,18.9,0
2009-05-04,4.2,19.1,0
2009-05-05,5.2,18.8,0
2009-05-06,4.1,19.3,0
2009-05-07,3.2,18.4,0
2009-05-08,4.3,19,0
2009-05-09,3.7,20.5,0
2009-05-10,5.4,19.5,0
2009-05-11,4.3,17.7,0
2009-05-12,3.6,18.5,0
2009-05-13,3.6,15.1,0
2009-05-14,6.9,16.3,0
2009-05-15,10.3,16.6,0
2009-05-16,12.4,16.4,1.8
2009-05-17,3,15.6,0
2009-05-18,2.6,19.7,0
2009-05-19,3.7,19.1,0
2009-05-20,5.1,18.6,0
2009-05-21,4.4,19.8,0
2009-05-22,4.7,19.8,0
2009-05-23,6.2,22.9,0
2009-05-24,6.7,21.1,0
2009-05-25,9.3,20.3,0
2009-05-26,11.6,18.1,4.2
2009-05-27,8,16.2,0.8
2009-05-28,2.6,15.7,0
2009-05-29,2.2,16.5,0
2009-05-30,2.2,16.8,0
2009-05-31,1.7,17.1,0
2009-06-01,8,14.3,1.2
2009-06-02,8.4,13.4,1.4
2009-06-03,10.6,14.3,4.8
2009-06-04,8.9,17.4,8
2009-06-05,2.8,16.1,0
2009-06-06,1.7,10.5,0.2
2009-06-07,4.7,11.6,14.4
2009-06-08,9,12,4.6
2009-06-09,6.3,8.8,2
2009-06-10,3,10.5,5.6
2009-06-11,-2,9.6,0
2009-06-12,-1.3,8.2,0
2009-06-13,1.8,12.4,0
2009-06-14,2,15.8,0
2009-06-15,0.5,14.9,0.4
2009-06-16,1.2,17.7,0
2009-06-17,0.6,15.9,0
2009-06-18,0.5,14.7,0
2009-06-19,0.5,15.3,0
2009-06-20,0.9,17.3,0
2009-06-21,7,17,1.6
2009-06-22,5,14.9,5.6
2009-06-23,3.9,15.5,0
2009-06-24,7.7,14.1,6
2009-06-25,4.7,12.2,0
2009-06-26,6.9,13.7,4.4
2009-06-27,8.4,11.9,0
2009-06-28,9.3,12.3,5.4
2009-06-29,8.2,15.7,3.6
2009-06-30,9.1,16.1,2
2009-07-01,8.3,13.3,8.4
2009-07-02,8.8,11.6,5
2009-07-03,7.6,12,7.8
2009-07-04,5.7,13.2,0
2009-07-05,3.4,12.4,0
2009-07-06,0,12.1,0
2009-07-07,-1.5,12.5,0
2009-07-08,-1.7,13.8,0
2009-07-09,-0.4,15,0.2
2009-07-10,0.1,13.5,0
2009-07-11,4.8,13.3,0.6
2009-07-12,8.1,16.5,0.6
2009-07-13,5.9,13.1,1
2009-07-14,6.9,11,6.8
2009-07-15,2.9,12.6,1.8
2009-07-16,-0.6,13.4,0
2009-07-17,-0.3,14.4,0.2
2009-07-18,-1,12,0
2009-07-19,3.2,14.1,0.6
2009-07-20,3.6,16.5,0.2
2009-07-21,0.8,17.7,0
2009-07-22,6.6,12.3,0
2009-07-23,6,13.5,9.8
2009-07-24,-0.1,12.9,0
2009-07-25,-0.3,12.2,0
2009-07-26,2.1,9.8,0
2009-07-27,1.3,8.8,0
2009-07-28,4.2,12.7,3.8
2009-07-29,8.3,13.2,2.4
2009-07-30,3.3,12.1,0.2
2009-07-31,6.5,14.5,5.2
2009-08-01,7.4,13.9,0.2
2009-08-02,7.5,14.1,0.8
2009-08-03,8.3,13.8,0.8
2009-08-04,3.2,14.7,0
2009-08-05,5.7,13.8,5.4
2009-08-06,5.1,17.1,0.4
2009-08-07,8,13.9,0.8
2009-08-08,-0.8,12.9,4.2
2009-08-09,-1,12.2,0
2009-08-10,1.9,14.8,0.2
2009-08-11,5.9,17.7,0.4
2009-08-12,6.9,14.3,4.8
2009-08-13,7.7,11.6,0.2
2009-08-14,6.8,15.2,1.2
2009-08-15,2.7,17.5,0.2
2009-08-16,5.1,15.5,1.6
2009-08-17,4.2,13.6,3.2
2009-08-18,0.6,15.6,0
2009-08-19,1.6,16.4,0
2009-08-20,5.5,18.4,0
2009-08-21,7.3,14.8,1
2009-08-22,0.2,14.1,6.6
2009-08-23,5.8,18.9,3.8
2009-08-24,8.9,17.1,1.2
2009-08-25,7.1,12.8,2
2009-08-26,4.2,14.4,3.6
2009-08-27,1.1,16.7,0.4
2009-08-28,1.1,18.6,0
2009-08-29,7.2,17.9,4.2
2009-08-30,6.3,11.1,13.4
2009-08-31,6.7,14.2,1.4
2009-09-01,5.1,14.2,3
2009-09-02,1,16.8,0
2009-09-03,6.1,20.7,0
2009-09-04,6.3,16.9,1.4
2009-09-05,2.1,15,0
2009-09-06,1.6,16.6,0
2009-09-07,8.3,17.6,0
2009-09-08,5.7,16.5,0
2009-09-09,7.5,14.3,0
2009-09-10,2.6,NA,0
2009-09-11,NA,18.8,NA
2009-09-12,6.5,24.7,0
2009-09-13,13.2,25.1,0
2009-09-14,4.3,17.8,0
2009-09-15,1.6,17.2,0
2009-09-16,2.8,21.1,0
2009-09-17,6.3,19,0
2009-09-18,7.4,20.4,10.2
2009-09-19,5.4,20.6,0
2009-09-20,8,18.9,0.4
2009-09-21,3.7,19,0.2
